Papel;Segmento;Cotação;FFO Yield;Dividend Yield;P/VP;Valor de Mercado;Liquidez;Qtd de imóveis;Preço do m2;Aluguel por m2;Cap Rate;Vacância Média
KEVE11;Residencial;993;0.0183;0.0743;1.03;146667000;28021;0;0;0;0;0
KFOF11;Títulos e Val. Mob.;83;0.1007;0.0949;0.84;376265000;820819;0;0;0;0;0
KINP11;Residencial;9.01;-0.012;0.5919;1.76;64402900;46610;1;0;0;0;0
KISU11;Títulos e Val. Mob.;8.03;0.113;0.1054;0.87;354894000;1001570;0;0;0;0;0
KIVO11;Títulos e Val. Mob.;92;0.0499;0.1018;0.94;111791000;127773;0;0;0;0;0
KNCA11;Títulos e Val. Mob.;105.59;0.0792;0.0862;1.03;855270000;1759160;0;0;0;0;0
KNCR11;Títulos e Val. Mob.;99.8;0.0719;0.1186;0.99;5545730000;11588600;0;0;0;0;0
KNHY11;Títulos e Val. Mob.;96.39;0.0909;0.1429;0.98;1782330000;2614350;0;0;0;0;0
KNIP11;Títulos e Val. Mob.;91.7;0.0616;0.1501;0.95;7394840000;10100500;0;0;0;0;0
KNRE11;Residencial;0.98;0.0373;0.4658;0.84;18176200;2667;1;0;0;0;0
KNRI11;Híbrido;135.94;0.0776;0.0748;0.85;3283920000;3003540;20;4078.71;325.84;0.0799;0.0007
KNSC11;Títulos e Val. Mob.;85.58;0.0738;0.1572;0.95;1136140000;4123000;0;0;0;0;0
LASC11;Shoppings;91.99;0.0728;0.08;0.84;270478000;20192;2;3456.18;251.21;0.0727;0.0268
LATR11B;Residencial;13.02;-0.1404;0;1.2;1615830;22;0;0;0;0;0
LFTT11;Residencial;84.5;-0.02;0.0786;1.78;625684000;49372;391;15375.4;2.32;0.0002;0
LGCP11;Logística;82.4;0.1308;0.0874;0.8;225188000;445842;5;2769.45;374.35;0.1352;0
LIFE11;Outros;10.45;0.0405;0.0126;1.05;110058000;32517;0;0;0;0;0
LSAG11;Títulos e Val. Mob.;111.88;0.0633;0.0848;1.11;63048500;42431;0;0;0;0;0
LSPA11;Outros;107.33;0.1212;0.0349;1;43415000;212676;0;0;0;0;0
LUGG11;Residencial;75.87;0.1359;0.0866;0.59;68283000;37381;4;3085.93;547.53;0.1774;0.0166
LVBI11;Logística;100.94;0.0878;0.0862;0.87;1188590000;2628240;9;2994.56;285.3;0.0953;0.0144
MALL11;Shoppings;105.51;0.1668;0.0818;0.99;797693000;2083260;8;4136.88;578.85;0.1399;0.0419
MANA11;Títulos e Val. Mob.;10.1;0.0292;0.035;1.03;133538000;311504;0;0;0;0;0
MATV11;Títulos e Val. Mob.;87.5;0.0954;0.1524;0.94;37272200;15765;0;0;0;0;0
MAXR11;Híbrido;77.41;0.1019;0.0977;0.64;87137000;71058;10;1195.11;146.8;0.1228;0
MBRF11;Híbrido;679;0.1754;0.1682;0.6;69029900;40317;2;3771.85;726.82;0.1927;0.0434
MCCI11;Títulos e Val. Mob.;96.3;0.134;0.1291;1.02;1405420000;3278100;0;0;0;0;0
MCHF11;Títulos e Val. Mob.;8.95;0.116;0.1501;0.94;289153000;1041820;0;0;0;0;0
MCHY11;Títulos e Val. Mob.;102.27;0.1498;0.1573;0.99;367126000;33660;0;0;0;0;0
MFAI11;Híbrido;62.95;0.1044;0.1387;0.81;19896900;32074;0;0;0;0;0
MFCR11;Híbrido;102.5;0.0167;0.0244;1.02;10273700;619;0;0;0;0;0
MFII11;Híbrido;95.99;0.1369;0.1412;0.95;398061000;337782;6;167.61;0;0;0
MGCR11;Títulos e Val. Mob.;82.84;0.1239;0.1589;0.89;117824000;162687;0;0;0;0;0
MGFF11;Títulos e Val. Mob.;58.47;0.1026;0.1133;0.76;529190000;1140640;0;0;0;0;0
MGHT11;Híbrido;57.3;0.1214;0.1605;0.67;75279800;104058;1;6745.91;913.9;0.1355;0
MGLG11;Logística;38.95;0.0994;0.1415;1;73544400;109930;0;0;0;0;0
MORC11;Títulos e Val. Mob.;91.49;0.1099;0.1688;0.94;118200000;270793;0;0;0;0;0
MORE11;Títulos e Val. Mob.;66.8;0.118;0.1216;0.76;154917000;475978;0;0;0;0;0
MXRF11;Híbrido;10.05;0.101;0.1181;0.99;2271700000;6247420;3;8923.67;0;0;0
NAVT11;Títulos e Val. Mob.;76;0.1126;0.1238;0.81;80142500;118569;0;0;0;0;0
NCHB11;Títulos e Val. Mob.;91.9;0.1457;0.1185;1.01;147210000;444853;0;0;0;0;0
NCRA11;Títulos e Val. Mob.;89.1;0.0631;0.1075;0.94;35795300;289236;0;0;0;0;0
NEWL11;Híbrido;97.58;0.2737;0.115;0.8;198390000;141848;3;2706.61;534.47;0.1975;0
NEWU11;Híbrido;40.24;-0.0334;0;0.62;29858100;50709;3;2203.29;241.89;0.1098;0.5723
NSLU11;Hospital;163.79;0.0556;0.0699;0.84;211827000;469349;1;8818.38;1053.46;0.1195;0
NVHO11;Hospital;10.25;0.1399;0.0855;0.8;425319000;3002;4;13862.6;1994.98;0.1439;0
OIAG11;Híbrido;10.09;0.0492;0.0609;1.03;42033800;62420;0;0;0;0;0
ONEF11;Lajes Corporativas;170.8;0.0622;0.0624;0.98;155599000;80641;1;25430;1760.33;0.0692;0
